大類代碼,大類,細類代碼,細類
G,批發及零售業,4862,紡織品、服裝及鞋類之零售攤販
G,批發及零售業,4869,其他零售攤販
G,批發及零售業,4871,電子購物及郵購業
G,批發及零售業,4872,直銷業
G,批發及零售業,4879,未分類其他非店面零售業
H,運輸及倉儲業,4910,鐵路運輸業
H,運輸及倉儲業,4920,捷運運輸業
H,運輸及倉儲業,4931,公共汽車客運業
H,運輸及倉儲業,4932,計程車客運業
H,運輸及倉儲業,4939,其他汽車客運業
H,運輸及倉儲業,4940,汽車貨運業
H,運輸及倉儲業,4990,其他陸上運輸業
H,運輸及倉儲業,5010,海洋水運業
H,運輸及倉儲業,5020,內河及湖泊水運業
H,運輸及倉儲業,5100,航空運輸業
H,運輸及倉儲業,5210,報關業
H,運輸及倉儲業,5220,船務代理業
H,運輸及倉儲業,5231,陸上貨運承攬業
H,運輸及倉儲業,5232,海洋貨運承攬業
H,運輸及倉儲業,5233,航空貨運承攬業
H,運輸及倉儲業,5241,停車場
H,運輸及倉儲業,5249,其他陸上運輸輔助業
H,運輸及倉儲業,5251,港埠業
H,運輸及倉儲業,5259,其他水上運輸輔助業
H,運輸及倉儲業,5260,航空運輸輔助業
H,運輸及倉儲業,5290,其他運輸輔助業
H,運輸及倉儲業,5301,普通倉儲業
H,運輸及倉儲業,5302,冷凍冷藏倉儲業
H,運輸及倉儲業,5410,郵政業
H,運輸及倉儲業,5420,遞送服務業
I,住宿及餐飲業,5510,短期住宿業
